Subject;BlockCounter;Blocks;BlockList;Category[LogLevel5];Category[SubTrial];Exemplar[LogLevel5];Exemplar[SubTrial];Item;Typicality[LogLevel5];Typicality[SubTrial];RpWordQ.RESP;Retrieval: item accuracy;Retrieval: item and side correct;Response.RESP;Test: item accuracy;Test: side and item correct;Correct[LogLevel5];Correct[SubTrial];Side[LogLevel5];Side[SubTrial];SoundFile[LogLevel5];SoundFile[SubTrial];EncodeSideQ.ACC;EncodeSideQ.RESP;EncodeSideQ.RT;RpSideQ.ACC;RpSideQ.RESP;RpSideQ.RT;RpSideQ RT if item and side correct;TestSideQ.ACC;TestSideQ.RESP;TestSideQ.RT;ListSet[LogLevel5];ListSet[SubTrial];RetStem[LogLevel5];RetStem[SubTrial];TestStem;Retrieval round
4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1;6;1;;Fisk;;Braxen;NrpHigh;;high;;;;;;;;{LEFTARROW};;-10000;;braxen.wav;1;{LEFTARROW};1389;;;;;;;;;1;;Br;B;
4;1;6;1;;Fisk;;Rödspätta;NrpLow;;low;;;;;;;;{RIGHTARROW};;10000;;rödspätta.wav;1;{RIGHTARROW};803;;;;;;;;;1;;Rö;R;
4;1;6;1;;Fisk;;Hammarhaj;NrpLow;;low;;;;;;;;{RIGHTARROW};;10000;;hammarhaj.wav;1;{RIGHTARROW};721;;;;;;;;;1;;Ha;H;
4;1;6;1;;Köksredskap;;Rivjärn;RpMinus;;high;;;;;;;;{LEFTARROW};;-10000;;rivjärn.wav;1;{LEFTARROW};736;;;;;;;;;2;;Ri;R;
4;1;6;1;;Väderfenomen;;Ösregn;RpPlus;;low;;;;;;;;{LEFTARROW};;-10000;;ösregn.wav;1;{LEFTARROW};671;;;;;;;;;3;;Ös;Ö;
4;1;6;1;;Väderfenomen;;Kuling;RpPlus;;low;;;;;;;;{LEFTARROW};;-10000;;kuling.wav;1;{LEFTARROW};609;;;;;;;;;3;;Ku;K;
4;1;6;1;;Väderfenomen;;Dimma;RpMinus;;high;;;;;;;;{RIGHTARROW};;10000;;dimma.wav;1;{RIGHTARROW};597;;;;;;;;;3;;Di;D;
4;1;6;1;;Fisk;;Makrill;NrpHigh;;high;;;;;;;;{LEFTARROW};;-10000;;makrill.wav;1;{LEFTARROW};538;;;;;;;;;1;;Ma;M;
4;1;6;1;;Väderfenomen;;Monsun;RpPlus;;low;;;;;;;;{LEFTARROW};;-10000;;monsun.wav;1;{LEFTARROW};659;;;;;;;;;3;;Mo;M;
4;1;6;1;;Köksredskap;;Hålslev;RpPlus;;low;;;;;;;;{RIGHTARROW};;10000;;hålslev.wav;1;{RIGHTARROW};662;;;;;;;;;2;;Hå;H;
4;1;6;1;;Köksredskap;;Visp;RpMinus;;high;;;;;;;;{LEFTARROW};;-10000;;visp.wav;1;{LEFTARROW};566;;;;;;;;;2;;Vi;V;
4;1;6;1;;Fisk;;Flundra;NrpLow;;low;;;;;;;;{RIGHTARROW};;10000;;flundra.wav;1;{RIGHTARROW};524;;;;;;;;;1;;Fl;F;
4;1;6;1;;Väderfenomen;;Norrsken;RpMinus;;high;;;;;;;;{RIGHTARROW};;10000;;norrsken.wav;1;{RIGHTARROW};771;;;;;;;;;3;;No;N;
4;1;6;1;;Fisk;;Tonfisk;NrpHigh;;high;;;;;;;;{LEFTARROW};;-10000;;tonfisk.wav;1;{LEFTARROW};752;;;;;;;;;1;;To;T;
4;1;6;1;;Köksredskap;;Förskärare;RpPlus;;low;;;;;;;;{RIGHTARROW};;10000;;förskärare.wav;1;{RIGHTARROW};432;;;;;;;;;2;;Fö;F;
4;1;6;1;;Fisk;;Sill;NrpHigh;;high;;;;;;;;{LEFTARROW};;-10000;;sill.wav;1;{LEFTARROW};682;;;;;;;;;1;;Si;S;
4;1;6;1;;Köksredskap;;Osthyvel;RpPlus;;low;;;;;;;;{RIGHTARROW};;10000;;osthyvel.wav;1;{RIGHTARROW};572;;;;;;;;;2;;Os;O;
4;1;6;1;;Köksredskap;;Gryta;RpMinus;;high;;;;;;;;{LEFTARROW};;-10000;;gryta.wav;1;{LEFTARROW};964;;;;;;;;;2;;Gr;G;
4;1;6;1;;Väderfenomen;;Snöstorm;RpPlus;;low;;;;;;;;{LEFTARROW};;-10000;;snöstorm.wav;1;{LEFTARROW};582;;;;;;;;;3;;Sn;S;
4;1;6;1;;Väderfenomen;;Tornado;RpMinus;;high;;;;;;;;{RIGHTARROW};;10000;;tornado.wav;1;{RIGHTARROW};491;;;;;;;;;3;;To;T;
4;1;6;1;;Köksredskap;;Kavel;RpPlus;;low;;;;;;;;{RIGHTARROW};;10000;;kavel.wav;1;{RIGHTARROW};502;;;;;;;;;2;;Ka;K;
4;1;6;1;;Väderfenomen;;Hagel;RpMinus;;high;;;;;;;;{RIGHTARROW};;10000;;hagel.wav;1;{RIGHTARROW};672;;;;;;;;;3;;Ha;H;
4;1;6;1;;Fisk;;Piraya;NrpLow;;low;;;;;;;;{RIGHTARROW};;10000;;piraya.wav;1;{RIGHTARROW};468;;;;;;;;;1;;Pi;P;
4;1;6;1;;Köksredskap;;Mixer;RpMinus;;high;;;;;;;;{LEFTARROW};;-10000;;mixer.wav;1;{LEFTARROW};384;;;;;;;;;2;;Mi;M;
4;1;6;2;Väderfenomen;;Kuling;;;low;;1;1;0;;;;{LEFTARROW};;-10000;;kuling.wav;;;;;0;{RIGHTARROW};1626;;;;;3;;Ku;;;1
4;1;6;2;Väderfenomen;;Snöstorm;;;low;;1;1;1;;;;{LEFTARROW};;-10000;;snöstorm.wav;;;;;1;{LEFTARROW};573;573;;;;3;;Sn;;;1
4;1;6;2;Köksredskap;;Hålslev;;;low;;3;0;0;;;;{RIGHTARROW};;10000;;hålslev.wav;;;;;1;{RIGHTARROW};764;;;;;2;;Hå;;;1
4;1;6;2;Väderfenomen;;Ösregn;;;low;;1;1;0;;;;{LEFTARROW};;-10000;;ösregn.wav;;;;;0;{RIGHTARROW};483;;;;;3;;Ös;;;1
4;1;6;2;Väderfenomen;;Monsun;;;low;;2;0;0;;;;{LEFTARROW};;-10000;;monsun.wav;;;;;1;{LEFTARROW};1590;;;;;3;;Mo;;;1
4;1;6;2;Köksredskap;;Förskärare;;;low;;2;0;0;;;;{RIGHTARROW};;10000;;förskärare.wav;;;;;1;{RIGHTARROW};1100;;;;;2;;Fö;;;1
4;1;6;2;Köksredskap;;Osthyvel;;;low;;2;0;0;;;;{RIGHTARROW};;10000;;osthyvel.wav;;;;;0;{LEFTARROW};709;;;;;2;;Os;;;1
4;1;6;2;Köksredskap;;Kavel;;;low;;2;0;0;;;;{RIGHTARROW};;10000;;kavel.wav;;;;;1;{RIGHTARROW};798;;;;;2;;Ka;;;1
4;1;6;2;Köksredskap;;Hålslev;;;low;;3;0;0;;;;{RIGHTARROW};;10000;;hålslev.wav;;;;;1;{RIGHTARROW};1012;;;;;2;;Hå;;;2
4;1;6;2;Köksredskap;;Förskärare;;;low;;3;0;0;;;;{RIGHTARROW};;10000;;förskärare.wav;;;;;1;{RIGHTARROW};1441;;;;;2;;Fö;;;2
4;1;6;2;Väderfenomen;;Ösregn;;;low;;1;1;0;;;;{LEFTARROW};;-10000;;ösregn.wav;;;;;0;{RIGHTARROW};1101;;;;;3;;Ös;;;2
4;1;6;2;Väderfenomen;;Snöstorm;;;low;;1;1;1;;;;{LEFTARROW};;-10000;;snöstorm.wav;;;;;1;{LEFTARROW};1431;1431;;;;3;;Sn;;;2
4;1;6;2;Väderfenomen;;Monsun;;;low;;2;0;0;;;;{LEFTARROW};;-10000;;monsun.wav;;;;;0;{RIGHTARROW};1219;;;;;3;;Mo;;;2
4;1;6;2;Köksredskap;;Kavel;;;low;;3;0;0;;;;{RIGHTARROW};;10000;;kavel.wav;;;;;1;{RIGHTARROW};1800;;;;;2;;Ka;;;2
4;1;6;2;Köksredskap;;Osthyvel;;;low;;1;1;0;;;;{RIGHTARROW};;10000;;osthyvel.wav;;;;;0;{LEFTARROW};1318;;;;;2;;Os;;;2
4;1;6;2;Väderfenomen;;Kuling;;;low;;1;1;0;;;;{LEFTARROW};;-10000;;kuling.wav;;;;;0;{RIGHTARROW};1031;;;;;3;;Ku;;;2
4;1;6;2;Väderfenomen;;Ösregn;;;low;;1;1;0;;;;{LEFTARROW};;-10000;;ösregn.wav;;;;;0;{RIGHTARROW};803;;;;;3;;Ös;;;3
4;1;6;2;Köksredskap;;Hålslev;;;low;;3;0;0;;;;{RIGHTARROW};;10000;;hålslev.wav;;;;;1;{RIGHTARROW};1784;;;;;2;;Hå;;;3
4;1;6;2;Köksredskap;;Förskärare;;;low;;2;0;0;;;;{RIGHTARROW};;10000;;förskärare.wav;;;;;1;{RIGHTARROW};1623;;;;;2;;Fö;;;3
4;1;6;2;Väderfenomen;;Snöstorm;;;low;;1;1;1;;;;{LEFTARROW};;-10000;;snöstorm.wav;;;;;1;{LEFTARROW};412;412;;;;3;;Sn;;;3
4;1;6;2;Köksredskap;;Kavel;;;low;;2;0;0;;;;{RIGHTARROW};;10000;;kavel.wav;;;;;1;{RIGHTARROW};1281;;;;;2;;Ka;;;3
4;1;6;2;Köksredskap;;Osthyvel;;;low;;1;1;0;;;;{RIGHTARROW};;10000;;osthyvel.wav;;;;;0;{LEFTARROW};979;;;;;2;;Os;;;3
4;1;6;2;Väderfenomen;;Kuling;;;low;;1;1;0;;;;{LEFTARROW};;-10000;;kuling.wav;;;;;0;{RIGHTARROW};786;;;;;3;;Ku;;;3
4;1;6;2;Väderfenomen;;Monsun;;;low;;2;0;0;;;;{LEFTARROW};;-10000;;monsun.wav;;;;;1;{LEFTARROW};616;;;;;3;;Mo;;;3
4;1;6;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1;6;4;;Väderfenomen;;Monsun;RpPlus;;low;;;;2;0;0;;{LEFTARROW};;-10000;;monsun.wav;;;;;;;;1;{LEFTARROW};647;;3;;Mo;M;
4;1;6;4;;Väderfenomen;;Hagel;RpMinus;;high;;;;1;1;1;;{RIGHTARROW};;10000;;hagel.wav;;;;;;;;1;{RIGHTARROW};535;;3;;Ha;H;
4;1;6;4;;Väderfenomen;;Snöstorm;RpPlus;;low;;;;1;1;1;;{LEFTARROW};;-10000;;snöstorm.wav;;;;;;;;1;{LEFTARROW};1467;;3;;Sn;S;
4;1;6;4;;Köksredskap;;Förskärare;RpPlus;;low;;;;2;0;0;;{RIGHTARROW};;10000;;förskärare.wav;;;;;;;;1;{RIGHTARROW};986;;2;;Fö;F;
4;1;6;4;;Köksredskap;;Kavel;RpPlus;;low;;;;2;0;0;;{RIGHTARROW};;10000;;kavel.wav;;;;;;;;1;{RIGHTARROW};973;;2;;Ka;K;
4;1;6;4;;Fisk;;Piraya;NrpLow;;low;;;;3;0;0;;{RIGHTARROW};;10000;;piraya.wav;;;;;;;;1;{RIGHTARROW};2496;;1;;Pi;P;
4;1;6;4;;Fisk;;Braxen;NrpHigh;;high;;;;3;0;0;;{LEFTARROW};;-10000;;braxen.wav;;;;;;;;1;{LEFTARROW};1686;;1;;Br;B;
4;1;6;4;;Fisk;;Hammarhaj;NrpLow;;low;;;;3;0;0;;{RIGHTARROW};;10000;;hammarhaj.wav;;;;;;;;1;{RIGHTARROW};989;;1;;Ha;H;
4;1;6;4;;Fisk;;Tonfisk;NrpHigh;;high;;;;2;0;0;;{LEFTARROW};;-10000;;tonfisk.wav;;;;;;;;0;{RIGHTARROW};1105;;1;;To;T;
4;1;6;4;;Väderfenomen;;Norrsken;RpMinus;;high;;;;3;0;0;;{RIGHTARROW};;10000;;norrsken.wav;;;;;;;;1;{RIGHTARROW};1534;;3;;No;N;
4;1;6;4;;Fisk;;Rödspätta;NrpLow;;low;;;;2;0;0;;{RIGHTARROW};;10000;;rödspätta.wav;;;;;;;;1;{RIGHTARROW};828;;1;;Rö;R;
4;1;6;4;;Köksredskap;;Osthyvel;RpPlus;;low;;;;1;1;1;;{RIGHTARROW};;10000;;osthyvel.wav;;;;;;;;1;{RIGHTARROW};533;;2;;Os;O;
4;1;6;4;;Fisk;;Sill;NrpHigh;;high;;;;2;0;0;;{LEFTARROW};;-10000;;sill.wav;;;;;;;;1;{LEFTARROW};1257;;1;;Si;S;
4;1;6;4;;Köksredskap;;Gryta;RpMinus;;high;;;;1;1;0;;{LEFTARROW};;-10000;;gryta.wav;;;;;;;;0;{RIGHTARROW};624;;2;;Gr;G;
4;1;6;4;;Köksredskap;;Visp;RpMinus;;high;;;;3;0;0;;{LEFTARROW};;-10000;;visp.wav;;;;;;;;1;{LEFTARROW};690;;2;;Vi;V;
4;1;6;4;;Väderfenomen;;Ösregn;RpPlus;;low;;;;1;1;0;;{LEFTARROW};;-10000;;ösregn.wav;;;;;;;;0;{RIGHTARROW};1041;;3;;Ös;Ö;
